"Año";"Periodo";"Parámetro";"Índice de riesgo climático (2000-2019)"
"2019";"Año";"Ecuador";"94,17"
"2019";"Año";"Egipto";"142,17"
"2019";"Año";"El Salvador";"43,67"
"2019";"Año";"Eritrea";"115,83"
"2019";"Año";"Eslovenia";"55"
"2019";"Año";"España";"46,5"
"2019";"Año";"Estonia";"144,5"
"2019";"Año";"Eswatini";"97,33"
"2019";"Año";"Etiopía";"66,5"
"2019";"Año";"Filipinas";"18,17"
"2019";"Año";"Finlandia";"153,5"
"2019";"Año";"Fiyi";"38,33"
"2019";"Año";"Francia";"41,67"
"2019";"Año";"Gabón";"165,83"
"2019";"Año";"Georgia";"94,67"
"2019";"Año";"Ghana";"101,33"
"2019";"Año";"Granada";"39,67"
"2019";"Año";"Grecia";"75"
"2019";"Año";"Guatemala";"37,5"
"2019";"Año";"Guayana";"108,17"
"2019";"Año";"Guinea";"159,83"
"2019";"Año";"Guinea-Bissau";"99,17"
"2019";"Año";"Haití";"13,67"
"2019";"Año";"Honduras";"57"
"2019";"Año";"Hungría";"74"
"2019";"Año";"India";"38,5"
"2019";"Año";"Indonesia";"74"
"2019";"Año";"Irak";"143,17"
"2019";"Año";"Irán";"90"
"2019";"Año";"Irlanda";"121,17"
"2019";"Año";"Islandia";"168,5"
"2019";"Año";"Islas Marshall";"164,83"
"2019";"Año";"Israel";"120,33"
"2019";"Año";"Italia";"39"
"2019";"Año";"Jamaica";"63,83"
"2019";"Año";"Japón";"64,83"
"2019";"Año";"Jordán";"129,5"
"2019";"Año";"Kazajstán";"141,83"
"2019";"Año";"Kenia";"52"
"2019";"Año";"Kirgüistán";"109,67"
"2019";"Año";"Kiribati";"116,33"
"2019";"Año";"Kuwait";"152"
"2019";"Año";"Laos";"60,5"
"2019";"Año";"Lesoto";"99,17"
"2019";"Año";"Letonia";"82,83"
"2019";"Año";"Líbano";"118"
"2019";"Año";"Liberia";"154,83"
"2019";"Año";"Libia";"160,33"
"2019";"Año";"Lituania";"118,17"
"2019";"Año";"Luxemburgo";"89"
"2019";"Año";"Macedonia del Norte";"98,33"
"2019";"Año";"Madagascar";"34,67"
"2019";"Año";"Malasia";"105,67"
"2019";"Año";"Malawi";"67,83"
"2019";"Año";"Maldivas";"166,83"
"2019";"Año";"Mali";"110,5"
"2019";"Año";"Malta";"134"
"2019";"Año";"Marruecos";"96,17"
"2019";"Año";"Mauricio";"124,17"
"2019";"Año";"Mauritania";"82"
"2019";"Año";"México";"65,5"
"2019";"Año";"Micronesia";"55,67"
"2019";"Año";"Moldavia";"81,67"
"2019";"Año";"Mongolia";"59,17"
"2019";"Año";"Mozambique";"25,83"
"2019";"Año";"Namibia";"64,33"
"2019";"Año";"Nepal";"31,33"
"2019";"Año";"Nicaragua";"53"
"2019";"Año";"Níger";"68,67"
"2019";"Año";"Nigeria";"104,33"
"2019";"Año";"Noruega";"137,5"
"2019";"Año";"Nueva Zelanda";"85"
"2019";"Año";"Omán";"41,17"
"2019";"Año";"Países Bajos";"72,5"
"2019";"Año";"Pakistán";"29"
"2019";"Año";"Panamá";"107"
"2019";"Año";"Papúa Nueva Guinea";"90,83"
"2019";"Año";"Paraguay";"67"
"2019";"Año";"Perú";"57,67"
"2019";"Año";"Polonia";"75,17"
"2019";"Año";"Portugal";"38,67"
"2019";"Año";"Puerto Rico";"7,17"
"2019";"Año";"R. Checa";"80,67"
"2019";"Año";"República Centroafricana";"138,83"
"2019";"Año";"República del Congo";"148,67"
"2019";"Año";"República Dominicana";"59,5"
"2019";"Año";"República Eslovaca";"114,83"
"2019";"Año";"Ruanda";"105,83"
"2019";"Año";"Rumania";"56,33"
"2019";"Año";"Rusia";"48,5"
"2019";"Año";"Salomón";"73"
"2019";"Año";"Samoa";"72,67"
"2019";"Año";"San Cristóbal y Nieves";"116"
"2019";"Año";"San Vicente y las Granadinas";"59,17"
"2019";"Año";"Santa Lucía";"60,33"
"2019";"Año";"Senegal";"123"
"2019";"Año";"Serbia y Montenegro";"70,83"
"2019";"Año";"Seychelles";"160,33"
"2019";"Año";"Sierra Leona";"85,83"
"2019";"Año";"Singapur";"172"
"2019";"Año";"Sri Lanka";"39,5"
"2019";"Año";"Sudáfrica";"76"
"2019";"Año";"Sudán";"84,33"
"2019";"Año";"Sudán del Sur";"92,67"
"2019";"Año";"Suecia";"131,33"
"2019";"Año";"Suiza";"57,67"
"2019";"Año";"Surinam";"164"
"2019";"Año";"Tailandia";"29,83"
"2019";"Año";"Taiwán";"53,5"
"2019";"Año";"Tanzania";"111,33"
"2019";"Año";"Tayikistán";"59"
"2019";"Año";"Timor-Leste";"166,83"
"2019";"Año";"Yemen";"76,17"
;;
;;
"Métrica":"Índice de riesgo climático (2000-2019)"
"Fuente":"Germanwatch y Munich Re NatCatSERVICE"
"Clasificación":""
"Unidad":"Índice"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/paises-mundo-riesgo-climatico/2417cb2e-59dd-400c-9f4e-cc0b846e31f2"
"Titulo":"Países del mundo según riesgo climático"
"Subtitulo":"El índice de riesgo climático mide los países y las regiones afectados por pérdidas  relacionadas con el clima (tormentas, inundaciones, olas de calor, etc.) siendo el más bajo el que indica mayor riesgo"
